"catégories";"product_page_url";"UPC";"title";"price_includind_tax";"price_excluding_tax";"number_available";"review_rating";"product_description";"image_url"
"Fiction";"http://books.toscrape.com/catalogue/soumission_998/index.html";"6957f44c3847a760";"Soumission";"£50.10";"£50.10";"In stock (20 available)";"One";"Dans une France assez proche de la nA tre, un homme saengage dans la carriA re universitaire. Peu motivA par laenseignement, il saattend A  une vie ennuyeuse mais calme, protAgAe des grands drames historiques. Cependant les forces en jeu dans le pays ont fissurA le systA me politique jusquaA  provoquer son effondrement. Cette implosion sans soubresauts, sans vraie rAvolution, s Dans une France assez proche de la nA tre, un homme saengage dans la carriA re universitaire. Peu motivA par laenseignement, il saattend A  une vie ennuyeuse mais calme, protAgAe des grands drames historiques. Cependant les forces en jeu dans le pays ont fissurA le systA me politique jusquaA  provoquer son effondrement. Cette implosion sans soubresauts, sans vraie rAvolution, se dAveloppe comme un mauvais rAave.Le talent de laauteur, sa force visionnaire nous entraAnent sur un terrain ambigu et glissant ; son regard sur notre civilisation vieillissante fait coexister dans ce roman les intuitions poAtiques, les effets comiques, une mAlancolie fataliste.Ce livre est une saisissante fable politique et morale. ...more";"http://books.toscrape.com/media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg"
"Fiction";"http://books.toscrape.com/catalogue/private-paris-private-10_958/index.html";"b12b89017878a60d";"Private Paris (Private #10)";"£47.61";"£47.61";"In stock (17 available)";"Five";"Paris is burning--and only Private's Jack Morgan can put out the fire.When Jack Morgan stops by Private's Paris office, he envisions a quick hello during an otherwise relaxing trip filled with fine food and sightseeing. But Jack is quickly pressed into duty after a call from his client Sherman Wilkerson, asking Jack to track down his young granddaughter who is on the run f Paris is burning--and only Private's Jack Morgan can put out the fire.When Jack Morgan stops by Private's Paris office, he envisions a quick hello during an otherwise relaxing trip filled with fine food and sightseeing. But Jack is quickly pressed into duty after a call from his client Sherman Wilkerson, asking Jack to track down his young granddaughter who is on the run from a brutal drug dealer.Before Jack can locate her, several members of France's cultural elite are found dead--murdered in stunning, symbolic fashion. The only link between the crimes is a mysterious graffiti tag. As religious and ethnic tensions simmer in the City of Lights, only Jack and his Private team can connect the dots before the smoldering powder keg explodes. ...more";"http://books.toscrape.com/media/cache/0c/32/0c329cbd2adf4e0dc825f892106673b2.jpg"
"Fiction";"http://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html";"8d455c7539795d2a";"We Love You, Charlie Freeman";"£50.27";"£50.27";"In stock (16 available)";"Five";"The Freeman family--Charles, Laurel, and their daughters, teenage Charlotte and nine-year-old Callie--have been invited to the Toneybee Institute in rural Massachusetts to participate in a research experiment. They will live in an apartment on campus with Charlie, a young chimp abandoned by his mother. The Freemans were selected for the experiment because they know sign la The Freeman family--Charles, Laurel, and their daughters, teenage Charlotte and nine-year-old Callie--have been invited to the Toneybee Institute in rural Massachusetts to participate in a research experiment. They will live in an apartment on campus with Charlie, a young chimp abandoned by his mother. The Freemans were selected for the experiment because they know sign language; they are supposed to teach it to Charlie and welcome him as a member of their family. Isolated in their new, nearly all-white community not just by their race but by their strange living situation, the Freemans come undone. And when Charlotte discovers the truth about the Instituteas history of questionable studies, the secrets of the past begin to invade the present. The power of this novel resides in Kaitlyn Greenidgeas undeniable storytelling talents. What appears to be a story of mothers and daughters, of sisterhood put to the test, of adolescent love and grown-up misconduct, and of historyas long reach, becomes a provocative and compelling exploration of Americaas failure to find a language to talk about race. ...more";"http://books.toscrape.com/media/cache/9d/05/9d0533bae1578846d728a82913b95c26.jpg"
"Fiction";"http://books.toscrape.com/catalogue/thirst_946/index.html";"709822d0b5bcb7f4";"Thirst";"£17.27";"£17.27";"In stock (16 available)";"Five";"On a searing summer Friday, Eddie Chapman has been stuck for hours in a traffic jam. There are accidents along the highway, but ambulances and police are conspicuously absent. When he decides to abandon his car and run home, he sees that the trees along the edge of a stream have been burnt, and the water in the streambed is gone. Something is very wrong.When he arrives hom On a searing summer Friday, Eddie Chapman has been stuck for hours in a traffic jam. There are accidents along the highway, but ambulances and police are conspicuously absent. When he decides to abandon his car and run home, he sees that the trees along the edge of a stream have been burnt, and the water in the streambed is gone. Something is very wrong.When he arrives home, the power is out and there is no running water. The pipes everywhere, it seems, have gone dry. Eddie and his wife, Laura, find themselves thrust together with their neighbors while a sense of unease thickens in the stifling night air. Thirst takes place in the immediate aftermath of a mysterious disaster--the Chapmans and their neighbors suffer the effects of the heat, their thirst, and the terrifying realization that no one is coming to help. As violence rips through the community, Eddie and Laura are forced to recall secrets from their past and question their present humanity. In crisp and convincing prose, Ben Warner compels readers to do the same. What might you do to survive? ...more";"http://books.toscrape.com/media/cache/5f/15/5f152afdbc42356ecba02f61058a7e5b.jpg"
"Fiction";"http://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html";"d01ac97e2b8947c2";"The Murder That Never Was (Forensic Instincts #5)";"£54.11";"£54.11";"In stock (16 available)";"Three";"Given the opportunity, would you assume someone else's identity and leave your old life behind? A serendipitous crossing of paths between Lisa Barnes, a down-on-her-luck job seeker, and Julie Forman, a personal trainer to an Olympic hopeful, forever changes the course of both women's lives. One winds up dead and the other finds herself a fugitive, hiding behind one lie aft Given the opportunity, would you assume someone else's identity and leave your old life behind? A serendipitous crossing of paths between Lisa Barnes, a down-on-her-luck job seeker, and Julie Forman, a personal trainer to an Olympic hopeful, forever changes the course of both women's lives. One winds up dead and the other finds herself a fugitive, hiding behind one lie after another as a cold-blooded killer methodically hunts her. Desperately trying to stay alive, the terrified woman enlists the help of Forensic Instincts, a rogue investigative team that clandestinely operates in the gray area between legal and illegal. Safeguarding their client's deception, Forensic Instincts digs into dangerous territory as they try to find out who's after their client and why. Meanwhile, bodies are piling up in Chicago, New Jersey, and Vermont as a megalomaniacal genius will stop at nothing to eradicate anyone who threatens the success of his medical breakthrough. With an unhinged client and a monstrous criminal enterprise as its adversary, Forensic Instincts is forced into uncharted territory to protect their client and save one of their own from becoming the next corpse. Forensic Instincts is an unorthodox, criminal investigative team that carefully navigates the fine line between legal and illegal. The team consists of a behaviorist, a former Navy SEAL, a techo-wiz, an intuitive, a pickpocket, a retired FBI agent, and a human scent evidence dog.' ...more";"http://books.toscrape.com/media/cache/c4/0a/c40a64f59e7487b1a80a049f6ceb2ba5.jpg"
"Fiction";"http://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html";"b8736690cf263a3c";"Tuesday Nights in 1980";"£21.04";"£21.04";"In stock (15 available)";"Two";"aIn one sentence, Ms. Prentiss captures a sense of intoxication and possibility that six seasons of voice-overs from Sarah Jessica Parker never couldaMs. Prentiss concludes her novel on a note thatas both ethereal and brutally realistic. She cauterizes wounds, but theyare still visible and bare. But for her charactersafor this promising authoraitas enough.a aThe New York T aIn one sentence, Ms. Prentiss captures a sense of intoxication and possibility that six seasons of voice-overs from Sarah Jessica Parker never couldaMs. Prentiss concludes her novel on a note thatas both ethereal and brutally realistic. She cauterizes wounds, but theyare still visible and bare. But for her charactersafor this promising authoraitas enough.a aThe New York TimesaAn intoxicating Manhattan fairy taleaAs affecting as it is absorbing. A thrilling debut.a aKirkus Reviews (starred review) aA vital, sensuous, edgy, and suspenseful tale of longing, rage, fear, compulsion, and love.a aBooklist (starred review) An intoxicating and transcendent debut novel that follows a critic, an artist, and a desirous, determined young woman as they find their wayaand ultimately collideaamid the ever-evolving New York City art scene of the 1980s.Welcome to SoHo at the onset of the eighties: a gritty, not-yet-gentrified playground for artists and writers looking to make it in the big city. Among them: James Bennett, a synesthetic art critic for The New York Times whose unlikely condition enables him to describe art in profound, magical ways, and Raul Engales, an exiled Argentinian painter running from his past and the Dirty War that has enveloped his country. As the two men ascend in the downtown arts scene, dual tragedies strike, and each is faced with a loss that acutely affects his relationship to life and to art. It is not until they are inadvertently brought together by Lucy Olliasonaa small town beauty and Raulas museaand a young orphan boy sent mysteriously from Buenos Aires, that James and Raul are able to rediscover some semblance of what theyave lost.As inventive as Jennifer Egan's A Visit From The Goon Squad and as sweeping as Meg Wolitzer's The Interestings, Tuesday Nights in 1980 boldly renders a complex moment when the meaning and nature of art is being all but upended, and New York City as a whole is reinventing itself. In risk-taking prose that is as powerful as it is playful, Molly Prentiss deftly explores the need for beauty, community, creation, and love in an ever-changing urban landscape. ...more";"http://books.toscrape.com/media/cache/dc/44/dc44f8e2aebac48ca8553814d9b021a8.jpg"
"Fiction";"http://books.toscrape.com/catalogue/the-vacationers_863/index.html";"fd3a622648667296";"The Vacationers";"£42.15";"£42.15";"In stock (15 available)";"Four";"An irresistible, deftly observed novel about the secrets, joys, and jealousies that rise to the surface over the course of an American familyas two-week stay in Mallorca. For the Posts, a two-week trip to the Balearic island of Mallorca with their extended family and friends is a celebration: Franny and Jim are observing their thirty-fifth wedding anniversary, and their da An irresistible, deftly observed novel about the secrets, joys, and jealousies that rise to the surface over the course of an American familyas two-week stay in Mallorca. For the Posts, a two-week trip to the Balearic island of Mallorca with their extended family and friends is a celebration: Franny and Jim are observing their thirty-fifth wedding anniversary, and their daughter, Sylvia, has graduated from high school. The sunlit island, its mountains and beaches, its tapas and tennis courts, also promise an escape from the tensions simmering at home in Manhattan. But all does not go according to plan: over the course of the vacation, secrets come to light, old and new humiliations are experienced, childhood rivalries resurface, and ancient wounds are exacerbated. This is a story of the sides of ourselves that we choose to show and those we try to conceal, of the ways we tear each other down and build each other up again, and the bonds that ultimately hold us together. With wry humor and tremendous heart, Emma Straub delivers a richly satisfying story of a family in the midst of a maelstrom of change, emerging irrevocably altered yet whole. ...more";"http://books.toscrape.com/media/cache/6b/da/6bdae061cb92c32b0b83cda8dd10275d.jpg"
"Fiction";"http://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html";"0651062381f0636a";"The Regional Office Is Under Attack!";"£51.36";"£51.36";"In stock (15 available)";"Five";"In a world beset by amassing forces of darkness, one organizationathe Regional Officeaand its coterie of super-powered female assassins protects the globe from annihilation. At its helm, the mysterious Oyemi and her oracles seek out new recruits and root out evil plots. Then a prophecy suggests that someone from inside might bring about its downfall. And now, the Regional In a world beset by amassing forces of darkness, one organizationathe Regional Officeaand its coterie of super-powered female assassins protects the globe from annihilation. At its helm, the mysterious Oyemi and her oracles seek out new recruits and root out evil plots. Then a prophecy suggests that someone from inside might bring about its downfall. And now, the Regional Office is under attack. A  Recruited by a defector from within, Rose is a young assassin leading the attack, eager to stretch into her powers and prove herself on her first mission. Defending the Regional Office is Sarahawho may or may not have a mechanical armafiercely devoted to the organization that took her in as a young woman in the wake of her motheras sudden disappearance. On the day that the Regional Office is attacked, Roseas and Sarahas stories will overlap, their lives will collide, and the world as they know it just might end. ...more";"http://books.toscrape.com/media/cache/37/25/372578cc073efae80cf284b56040a488.jpg"
"Fiction";"http://books.toscrape.com/catalogue/finders-keepers-bill-hodges-trilogy-2_807/index.html";"edb3097e71330040";"Finders Keepers (Bill Hodges Trilogy #2)";"£53.53";"£53.53";"In stock (15 available)";"Five";"A masterful, intensely suspenseful novel about a reader whose obsession with a reclusive writer goes far too faraa book about the power of storytelling, starring the same trio of unlikely and winning heroes King introduced in Mr. MercedesaWake up, genius.a So begins Kingas instantly riveting story about a vengeful reader. The genius is John Rothstein, an iconic author who A masterful, intensely suspenseful novel about a reader whose obsession with a reclusive writer goes far too faraa book about the power of storytelling, starring the same trio of unlikely and winning heroes King introduced in Mr. MercedesaWake up, genius.a So begins Kingas instantly riveting story about a vengeful reader. The genius is John Rothstein, an iconic author who created a famous character, Jimmy Gold, but who hasnat published a book for decades. Morris Bellamy is livid, not just because Rothstein has stopped providing books, but because the nonconformist Jimmy Gold has sold out for a career in advertising. Morris kills Rothstein and empties his safe of cash, yes, but the real treasure is a trove of notebooks containing at least one more Gold novel.Morris hides the money and the notebooks, and then he is locked away for another crime. Decades later, a boy named Pete Saubers finds the treasure, and now it is Pete and his family that Bill Hodges, Holly Gibney, and Jerome Robinson must rescue from the ever-more deranged and vengeful Morris when heas released from prison after thirty-five years.Not since Misery has King played with the notion of a reader whose obsession with a writer gets dangerous. Finders Keepers is spectacular, heart-pounding suspense, but it is also King writing about how literature shapes a lifeafor good, for bad, forever. ...more";"http://books.toscrape.com/media/cache/f8/31/f8314c7fdaa79fb7191a583e9a852db8.jpg"
"Fiction";"http://books.toscrape.com/catalogue/the-time-keeper_766/index.html";"e9906e2f0d189745";"The Time Keeper";"£27.88";"£27.88";"In stock (14 available)";"Five";"In this fable, the first man on earth to count the hours becomes Father Time. The inventor of the world's first clock is punished for trying to measure God's greatest gift. He is banished to a cave for centuries and forced to listen to the voices of all who come after him seeking more days, more years. Eventually, with his soul nearly broken, Father Time is granted his fre In this fable, the first man on earth to count the hours becomes Father Time. The inventor of the world's first clock is punished for trying to measure God's greatest gift. He is banished to a cave for centuries and forced to listen to the voices of all who come after him seeking more days, more years. Eventually, with his soul nearly broken, Father Time is granted his freedom, along with a magical hourglass and a mission: a chance to redeem himself by teaching two earthly people the true meaning of time.He returns to our world - now dominated by the hour-counting he so innocently began - and commences a journey with two unlikely partners: one a teenage girl who is about to give up on life, the other a wealthy old businessman who wants to live forever. To save himself, he must save them both. And stop the world to do so. ...more";"http://books.toscrape.com/media/cache/6a/81/6a81103b1c01a3f6c56e5718a838a4c8.jpg"
"Fiction";"http://books.toscrape.com/catalogue/the-testament-of-mary_765/index.html";"081305e6df719dff";"The Testament of Mary";"£52.67";"£52.67";"In stock (14 available)";"Four";"Provocative, haunting, and indelible, Colm TA3ibAnas portrait of Mary presents her as a solitary older woman still seeking to understand the events that become the narrative of the New Testament and the foundation of Christianity.In the ancient town of Ephesus, Mary lives alone, years after her son's crucifixion. She has no interest in collaborating with the authors of the Provocative, haunting, and indelible, Colm TA3ibAnas portrait of Mary presents her as a solitary older woman still seeking to understand the events that become the narrative of the New Testament and the foundation of Christianity.In the ancient town of Ephesus, Mary lives alone, years after her son's crucifixion. She has no interest in collaborating with the authors of the Gospelaher keepers, who provide her with food and shelter and visit her regularly. She does not agree that her son is the Son of God; nor that his death was aworth it;a nor that the agroup of misfits he gathered around him, men who could not look a woman in the eye,a were holy disciples. Mary judges herself ruthlessly (she did not stay at the foot of the Cross until her son diedashe fled, to save herself), and is equally harsh on her judgment of others. This woman who we know from centuries of paintings and scripture as the docile, loving, silent, long-suffering, obedient, worshipful mother of Christ becomes, in Toibinas searing evocation, a tragic heroine with the relentless eloquence of Electra or Medea or Antigone. This tour de force of imagination and language is a portrait so vivid and convincing that our image of Mary will be forever transformed. ...more";"http://books.toscrape.com/media/cache/8f/f8/8ff8680dde59ea739d6978a01e4d7fe5.jpg"
